vocab_id,kanji,kana,jlpt_level
1,時間,じかん,N5
2,会社,かいしゃ,N5
3,電話,でんわ,N5
4,今日,きょう,N5
5,写真,しゃしん,N5
6,全部,ぜんぶ,N5
7,大学,だいがく,N5
8,文章,ぶんしょう,N5
9,問題,もんだい,N5
10,旅行,りょこう,N5
11,家庭,かてい,N5
12,学校,がっこう,N5
13,質問,しつもん,N5
14,番号,ばんごう,N5
15,今年,ことし,N5
16,結婚,けっこん,N5
17,自分,じぶん,N5
18,新聞,しんぶん,N5
19,仕事,しごと,N5
20,学生,がくせい,N5
21,一つ,ひとつ,N5
22,名前,なまえ,N5
23,先生,せんせい,N5
24,一人,ひとり,N5
25,映画,えいが,N5
26,,ページ,N5
27,,スポーツ,N5
28,,これ,N5
29,後ろ,うしろ,N5
30,料理,りょうり,N5
31,家族,かぞく,N5
32,,みんな,N5
33,毎日,まいにち,N5
34,意味,いみ,N5
35,音楽,おんがく,N5
36,買い物,かいもの,N5
37,時計,とけい,N5
38,国,くに,N5
39,手,て,N5
40,後,あと,N5
41,私,わたし,N5
42,道,みち,N5
43,木,き,N5
44,年,とし,N5
45,何,なに,N5
46,海,うみ,N5
47,花,はな,N5
48,色,いろ,N5
49,少し,すこし,N5
50,銀行,ぎんこう,N5
51,自動車,じどうしゃ,N5
52,部屋,へや,N5
53,子供,こども,N5
54,黒,くろ,N5
55,北,きた,N5
56,西,にし,N5
57,二人,ふたり,N5
58,南,みなみ,N5
59,下,した,N5
60,今,いま,N5
61,電気,でんき,N5
62,一緒,いっしょ,N5
63,,ニュース,N5
64,足,あし,N5
65,声,こえ,N5
66,庭,にわ,N5
67,友達,ともだち,N5
68,青,あお,N5
69,言葉,ことば,N5
70,地図,ちず,N5
71,自転車,じてんしゃ,N5
72,女の子,おんなのこ,N5
73,町,まち,N5
74,夜,よる,N5
75,,ここ,N5
76,春,はる,N5
77,英語,えいご,N5
78,話,はなし,N5
79,,それ,N5
80,箱,はこ,N5
81,病院,びょういん,N5
82,半,はん,N5
83,雑誌,ざっし,N5
84,明日,あした,N5
85,机,つくえ,N5
86,動物,どうぶつ,N5
87,外国,がいこく,N5
88,同じ,おなじ,N5
89,財布,さいふ,N5
90,大切,たいせつ,N5
91,服,ふく,N5
92,教室,きょうしつ,N5
93,公園,こうえん,N5
94,右,みぎ,N5
95,有名,ゆうめい,N5
96,歌,うた,N5
97,村,むら,N5
98,好き,すき,N5
99,医者,いしゃ,N5
100,靴,くつ,N5
101,昨日,きのう,N5
102,,いちばん,N5
103,玄関,げんかん,N5
104,兄弟,きょうだい,N5
105,,あなた,N5
106,秋,あき,N5
107,犬,いぬ,N5
108,練習,れんしゅう,N5
109,勉強,べんきょう,N5
110,雨,あめ,N5
111,雪,ゆき,N5
112,お金,おかね,N5
113,,たて,N5
114,出口,でぐち,N5
115,川,かわ,N5
116,,いつ,N5
117,午後,ごご,N5
118,角,かど,N5
119,肉,にく,N5
120,,かぎ,N5
121,始め,はじめ,N5
122,,あまり,N5
123,駅,えき,N5
124,大人,おとな,N5
125,横,よこ,N5
126,天気,てんき,N5
127,,カメラ,N5
128,,ほか,N5
129,,テレビ,N5
130,去年,きょねん,N5
131,電車,でんしゃ,N5
132,今月,こんげつ,N5
133,午前,ごぜん,N5
134,朝,あさ,N5
135,,たいへん,N5
136,元気,げんき,N5
137,河,かわ,N5
138,野菜,やさい,N5
139,,テーブル,N5
140,,あれ,N5
141,病気,びょうき,N5
142,男の子,おとこのこ,N5
143,結構,けっこう,N5
144,交番,こうばん,N5
145,一日,ついたち,N5
146,一日,いちにち,N5
147,,ペット,N5
148,,そば,N5
149,建物,たてもの,N5
150,休み,やすみ,N5
151,,シャツ,N5
152,紙,かみ,N5
153,来年,らいねん,N5
154,帽子,ぼうし,N5
155,上手,じょうず,N5
156,外国人,がいこくじん,N5
157,冬,ふゆ,N5
158,掃除,そうじ,N5
159,皆さん,みなさん,N5
160,,かばん,N5
161,,ほんとう,N5
162,今週,こんしゅう,N5
163,,コート,N5
164,食べ物,たべもの,N5
165,図書館,としょかん,N5
166,黄色,きいろ,N5
167,洗濯,せんたく,N5
168,初め,はじめ,N5
169,妹,いもうと,N5
170,窓,まど,N5
171,授業,じゅぎょう,N5
172,誰,だれ,N5
173,耳,みみ,N5
174,飛行機,ひこうき,N5
175,毎年,まいとし,N5
176,洋服,ようふく,N5
177,階段,かいだん,N5
178,,ボタン,N5
179,緑,みどり,N5
180,生徒,せいと,N5
181,お茶,おちゃ,N5
182,二日,ふつか,N5
183,両親,りょうしん,N5
184,,こちら,N5
185,毎週,まいしゅう,N5
186,魚,さかな,N5
187,お母さん,おかあさん,N5
188,時々,ときどき,N5
189,手紙,てがみ,N5
190,門,もん,N5
191,夏休み,なつやすみ,N5
192,絵,え,N5
193,先月,せんげつ,N5
194,十日,とおか,N5
195,毎月,まいつき,N5
196,七日,なのか,N5
197,台所,だいどころ,N5
198,作文,さくぶん,N5
199,九日,ここのか,N5
200,来月,らいげつ,N5
201,果物,くだもの,N5
202,八日,ようか,N5
203,眼鏡,めがね,N5
204,地下鉄,ちかてつ,N5
205,夕方,ゆうがた,N5
206,,ゼロ,N5
207,戸,と,N5
208,,たくさん,N5
209,冷蔵庫,れいぞうこ,N5
210,,いす,N5
211,大勢,おおぜい,N5
212,嫌い,きらい,N5
213,留学生,りゅうがくせい,N5
214,お父さん,おとうさん,N5
215,牛肉,ぎゅうにく,N5
216,,バス,N5
217,鳥,とり,N5
218,先週,せんしゅう,N5
219,橋,はし,N5
220,,ベッド,N5
221,茶色,ちゃいろ,N5
222,池,いけ,N5
223,来週,らいしゅう,N5
224,大使館,たいしかん,N5
225,警官,けいかん,N5
226,昼,ひる,N5
227,散歩,さんぽ,N5
228,人,にん,N5
229,本,ほん,N5
230,中,なか,N5
231,上,うえ,N5
232,漢字,かんじ,N5
233,弟,おとうと,N5
234,女,おんな,N5
235,,ポケット,N5
236,前,まえ,N5
237,方,かた,N5
238,目,め,N5
239,物,もの,N5
240,辞書,じしょ,N5
241,荷物,にもつ,N5
242,男,おとこ,N5
243,所,ところ,N5
244,先,さき,N5
245,晴れ,はれ,N5
246,一昨年,おととし,N5
247,水,すい,N5
248,薬,くすり,N5
249,頭,あたま,N5
250,万,まん,N5
251,白,はく,N5
252,,はし,N5
253,車,くるま,N5
254,店,みせ,N5
255,郵便局,ゆうびんきょく,N5
256,嫌,いや,N5
257,下手,へた,N5
258,,いつも,N5
259,,コーヒー,N5
260,姉,あね,N5
261,,ホテル,N5
262,切手,きって,N5
263,夏,なつ,N5
264,,そふ,N5
265,隣,となり,N5
266,山,やま,N5
267,映画館,えいがかん,N5
268,牛乳,ぎゅうにゅう,N5
269,風邪,かぜ,N5
270,鼻,はな,N5
271,交差点,こうさてん,N5
272,砂糖,さとう,N5
273,上着,うわぎ,N5
274,歯,は,N5
275,卵,たまご,N5
276,向こう,むこう,N5
277,塩,しお,N5
278,,パン,N5
279,廊下,ろうか,N5
280,紅茶,こうちゃ,N5
281,,パーティー,N5
282,,ふろ,N5
283,喫茶店,きっさてん,N5
284,毎朝,まいあさ,N5
285,体,たい,N5
286,口,こう,N5
287,風,かぜ,N5
288,宿題,しゅくだい,N5
289,封筒,ふうとう,N5
290,飲み物,のみもの,N5
291,昨夜,ゆうべ,N5
292,晩,ばん,N5
293,今朝,けさ,N5
294,鉛筆,えんぴつ,N5
295,傘,かさ,N5
296,辺,へん,N5
297,火曜日,かようび,N5
298,背広,せびろ,N5
299,赤,あか,N5
300,,カップ,N5
301,,いろいろ,N5
302,,カレンダー,N5
303,誕生日,たんじょうび,N5
304,靴下,くつした,N5
305,とり肉,とりにく,N5
306,,クラス,N5
307,万年筆,まんねんひつ,N5
308,切符,きっぷ,N5
309,,トイレ,N5
310,,スカート,N5
311,,ノート,N5
312,,そこ,N5
313,空,そら,N5
314,近く,ちかく,N5
315,,おじ,N5
316,本棚,ほんだな,N5
317,,ちゃわん,N5
318,暇,ひま,N5
319,毎晩,まいばん,N5
320,豚肉,ぶたにく,N5
321,左,ひだり,N5
322,,どこ,N5
323,,どちら,N5
324,,レストラン,N5
325,,テープ,N5
326,さ来年,さらいねん,N5
327,,しょうゆ,N5
328,,ドア,N5
